"","word","absolute.frequency","relative.frequency"
"330","dark",35,0.0196078431372549
"331","zillah",35,0.0196078431372549
"332","fit",35,0.0196078431372549
"333","rememb",35,0.0196078431372549
"334","inform",35,0.0196078431372549
"335","lock",35,0.0196078431372549
"336","stop",34,0.019047619047619
"337","manner",34,0.019047619047619
"338","glanc",34,0.019047619047619
"339","sens",34,0.019047619047619
"340","remark",34,0.019047619047619
"341","receiv",34,0.019047619047619
"342","amus",34,0.019047619047619
"343","instead",34,0.019047619047619
"344","often",34,0.019047619047619
"345","idea",34,0.019047619047619
"346","sad",34,0.019047619047619
"347","question",34,0.019047619047619
"348","hurt",34,0.019047619047619
"349","offer",34,0.019047619047619
"350","interrupt",33,0.0184873949579832
"351","reflect",33,0.0184873949579832
"352","there",33,0.0184873949579832
"353","full",33,0.0184873949579832
"354","pleasur",33,0.0184873949579832
"355","smile",33,0.0184873949579832
"356","grew",33,0.0184873949579832
"357","busi",33,0.0184873949579832
"358","sleep",33,0.0184873949579832
"359","send",33,0.0184873949579832
"360","rose",33,0.0184873949579832
"361","ran",33,0.0184873949579832
"362","piti",33,0.0184873949579832
"363","breath",33,0.0184873949579832
"364","held",33,0.0184873949579832
"365","week",33,0.0184873949579832
"366","inde",32,0.0179271708683473
"367","wall",32,0.0179271708683473
"368","mani",32,0.0179271708683473
"369","former",32,0.0179271708683473
"370","natur",32,0.0179271708683473
"371","spoke",32,0.0179271708683473
"372","soul",32,0.0179271708683473
"373","discov",32,0.0179271708683473
"374","fell",32,0.0179271708683473
"375","object",32,0.0179271708683473
"376","push",31,0.0173669467787115
"377","comfort",31,0.0173669467787115
"378","compani",31,0.0173669467787115
"379","cheek",31,0.0173669467787115
"380","strang",31,0.0173669467787115
"381","drew",31,0.0173669467787115
"382","wild",31,0.0173669467787115
"383","wick",31,0.0173669467787115
"384","whisper",31,0.0173669467787115
"385","play",31,0.0173669467787115
"386","realli",31,0.0173669467787115
"387","refus",31,0.0173669467787115
"388","kill",31,0.0173669467787115
"389","need",30,0.0168067226890756
"390","famili",30,0.0168067226890756
"391","within",30,0.0168067226890756
"392","month",30,0.0168067226890756
"393","ear",30,0.0168067226890756
"394","lip",30,0.0168067226890756
"395","struck",30,0.0168067226890756
"396","children",30,0.0168067226890756
"397","allow",29,0.0162464985994398
"398","dear",29,0.0162464985994398
"399","scarc",29,0.0162464985994398
"400","afraid",29,0.0162464985994398
"401","tea",29,0.0162464985994398
"402","husband",29,0.0162464985994398
"403","candl",29,0.0162464985994398
"404","pull",29,0.0162464985994398
"405","probabl",29,0.0162464985994398
