"","word","JE.freq","JE.prop","WH.freq","WH.prop","dProp","dAbs"
"1245","physic",10,0.00410846343467543,6,0.00336134453781513,0.000747118896860305,0.000747118896860305
"1246","rear",10,0.00410846343467543,6,0.00336134453781513,0.000747118896860305,0.000747118896860305
"1247","taught",10,0.00410846343467543,6,0.00336134453781513,0.000747118896860305,0.000747118896860305
"1248","blow",20,0.00821692686935086,16,0.00896358543417367,-0.000746658564822806,0.000746658564822806
"1249","consider",20,0.00821692686935086,16,0.00896358543417367,-0.000746658564822806,0.000746658564822806
"1250","affect",35,0.014379622021364,27,0.0151260504201681,-0.000746428398804058,0.000746428398804058
"1251","drew",44,0.0180772391125719,31,0.0173669467787115,0.000710292333860413,0.000710292333860413
"1252","apart",29,0.0119145439605588,20,0.0112044817927171,0.000710062167841663,0.000710062167841663
"1253","cut",29,0.0119145439605588,20,0.0112044817927171,0.000710062167841663,0.000710062167841663
"1254","descend",29,0.0119145439605588,20,0.0112044817927171,0.000710062167841663,0.000710062167841663
"1255","delay",14,0.0057518488085456,9,0.00504201680672269,0.000709832001822915,0.000709832001822915
"1256","departur",14,0.0057518488085456,9,0.00504201680672269,0.000709832001822915,0.000709832001822915
"1257","hollow",14,0.0057518488085456,9,0.00504201680672269,0.000709832001822915,0.000709832001822915
"1258","proud",14,0.0057518488085456,9,0.00504201680672269,0.000709832001822915,0.000709832001822915
"1259","retreat",14,0.0057518488085456,9,0.00504201680672269,0.000709832001822915,0.000709832001822915
"1260","ordinari",16,0.00657354149548069,13,0.00728291316526611,-0.000709371669785417,0.000709371669785417
"1261","produc",16,0.00657354149548069,13,0.00728291316526611,-0.000709371669785417,0.000709371669785417
"1262","render",16,0.00657354149548069,13,0.00728291316526611,-0.000709371669785417,0.000709371669785417
"1263","villag",16,0.00657354149548069,13,0.00728291316526611,-0.000709371669785417,0.000709371669785417
"1264","aliv",18,0.00739523418241578,12,0.00672268907563025,0.000672545106785524,0.000672545106785524
"1265","attach",18,0.00739523418241578,12,0.00672268907563025,0.000672545106785524,0.000672545106785524
"1266","lodg",18,0.00739523418241578,12,0.00672268907563025,0.000672545106785524,0.000672545106785524
"1267","remind",18,0.00739523418241578,12,0.00672268907563025,0.000672545106785524,0.000672545106785524
